word,entity
Añejo cheese,ingredient
Bagel and cream cheese,food
Oatmeal Cookie,food
Trail mix,food
Sour Cherry,ingredient
"LIVE Soda, LLC",organization
Strafford Organic Creamery,organization
Creme soda!,beverage
Smarties Candy Company,organization
Goat cheese,ingredient
Milk beverage,beverage
Cola champagne,beverage
Birch beer,beverage
Apple pommes,food
Bitter lemon,beverage
Rollatini,food
Yerba mate,ingredient
Buffalo dressing,food
Aloo mutter,food
Sweetened sucre,product
Mint sauce,food
"Simply Delicious, Inc.",organization
Sugar juice,beverage
Almond,ingredient
Soy milk,beverage
juice pineapple,beverage
Coffee milk,beverage
Thai tea,beverage
Oolong tea,beverage
Jasmine tea,beverage
Barley tea,beverage
HeySong Corporation,organization
"Solbern, LLC",organization
Root beer!,beverage
Mustard seed,food
Malted milk,food
Domino's Pizza,organization
Chicken fingers,food
Solanum bahamense,ingredient
Pumpernickel bread,food
Jiàng,food
Pastel azteca,food
Mint,food
Luo Han Guo,ingredient
Beecher's Handmade Cheese,organization
Caesar romaine,food
Fruit cup,beverage
Grape drink,beverage
Cottage cheese,ingredient
White pita,food
Corn kernel,food
Rib steak,food
ginger beer,beverage
Chai masala,beverage
Oatmeal raisin cookie,food
"Veggie Noodle Co., LLC",organization
Tabbouleh salad,food
Aloe vera,ingredient
Mallard,ingredient
Delighted By Hummus LLC,organization
Powder beverage,beverage
Croutons caesar,food
Light soda,beverage
Vienna Beef,organization
Coconut coco,ingredient
Animal jellies,ingredient
Broccoli soup,food
"Pearl River Pastry, LLC",organization
Bitter orange,ingredient
Champagne,beverage
Drinking water,food
Aguas frescas,beverage
Escolar,ingredient
Carrot chip,food
Long Island iced tea,beverage
Baked tostadas,ingredient
Dill paste,food
Piave cheese,ingredient
"Mcconnell's Preferred Investment, LLC",organization
Rice,ingredient
Wild leek,ingredient
Pad thai,food
Lemongrass,ingredient
Mama Juana,beverage
Honey garlic sauce,food
MOD Pizza LLC,organization
semolina shells,food
Holy Basil,ingredient
Alfalfa,ingredient
Chile relleno,food
Red junglefowl,ingredient
Dairy Queen,organization
Grape,ingredient
Kashk,food
Oyster sauce,ingredient
Calabrian Stuffed Eggplant,food
Buffalo wings,food
Starburst strawberry,beverage
Caraway,ingredient
Wheat,ingredient
Garlic Jim's Famous Gourmet Pizza,organization
Black truffle,ingredient
Tortilla chip,food
Caramelle candies,food
Zen Monkey LLC,organization
Half sour pickles,food
Lemon chicken,food
Halal snack pack,food
Chinese mustard,ingredient
Irish Cheddar,ingredient
Aranciata,beverage
Chori burger,food
Cassava flour,food
Barbecue chicken,food
Jamón serrano,food
Hickory Farms,organization
Stir-fried tomato and scrambled eggs,food
Haricot vert,ingredient
Phaseolus Ltd,organization
Blackcurrant,ingredient
Flour corn,ingredient
Beefsteak plant,ingredient
Shrimp raw,ingredient
Ocean sunfish,ingredient
Strawberry rhubarb,food
Pico de gallo,food
"Fairport Beverage Company, LLC",organization
Chili powder,ingredient
"Artisanal Premium Cheese, LLC",organization
Italian snack,food
As Nature Intended Limited,organization
Goat Feta,ingredient
Cane juice,beverage
Apple,ingredient
Corn pudding,food
Five Counties cheese,ingredient
"Buddy Squirrel, LLC",organization
Delicata squash,ingredient
Sicilian pizza,food
Meat pies,food
Red Leicester,ingredient
Tiramis savoiardi,food
Sage Derby,ingredient
See's Candies,organization
Nim’s Fruit Crisps,organization
Wild non,ingredient
Spaghetti product,food
Red Robin,organization
corn oil,ingredient
Hosmer Mountain Soda,organization
"apple pie""",food
Rapini,ingredient
Five-flavor berry,ingredient
italian bread,food
Red velvet cake,food
Smoothie King,organization
Milk powder,product
Yangnyeom-chikin,food
Vegetarian hot dog,food
Cinnamon cola,beverage
Almond butter,food
Dolcelatte,ingredient
White sweetclover,ingredient
Oyster mushrooms,ingredient
Himalayan salt,food
Ghirardelli Chocolate Company,organization
Wild strawberry,ingredient
Bagel crunch,food
Organic water,ingredient
cake tiramisu,food
Muesli,food
Evergreen huckleberry,ingredient
Oregon Potato Co.,organization
Chai kombucha,beverage
Chicken and dumplings,food
Raspberry vinegar,beverage
Rolled oats,food
Wonderful Pistachios &amp; Almonds LLC,organization
Instant mashed potatoes,food
Fried onion,food
Pure baking soda,ingredient
"Brazi Bites, LLC",organization
Large butter beans,ingredient
Chili con carne,food
Chai black tea,beverage
Sweet iced tea,beverage
Cream cheese,ingredient
Back to Nature Foods Company,organization
Paella,food
Traditional refried beans,ingredient
Classic marinara sauce,ingredient
Small early peas,ingredient
Whole small potatoes,food
Whole-wheat flour,food
Black chili beans,ingredient
Crispy fried chicken,food
Farmers' Fresh Mushrooms Inc.,organization
Instant dry milk,product
Asian vegetable rice,ingredient
Bob Evans Restaurants,organization
Active dry yeast,ingredient
Amy's Kitchen,organization
Kellogg's,organization
Enriched white bread,food
"Shenandoah Mills, Inc.",organization
Dark kidney beans,ingredient
Southern Cone Marigold,ingredient
Joseph's Gourmet Pasta Company,organization
Klondike Cheese Co.,organization
Hash browns,food
Velveeta Shells &amp; Cheese,food
Chicken soup base,food
Seaboard Foods LP,organization
Red chili sauce,ingredient
Vermont Creamery,organization
French toast,food
Green leaf lettuce,ingredient
Spaghetti aglio e olio,food
Crushed red pepper,food
Asiago cheese,ingredient
Pocket pita bread,food
Potato salad,food
Fasolada,food
Garden vegetable wraps,ingredient
Dutch apple pie,food
Enriched spaghetti product,food
Crispbread,food
Mint chocolate chip,food
Sourdough english muffins,food
Relish,food
Salt water taffy,food
Pan de queso,food
"G. Willi-Food International,  Ltd.",organization
Boxfresh Organics Limited,organization
Sauce,ingredient
Arrabbiata sauce,food
Pumpkin pie filling,food
Scampi seafood sauce,ingredient
Cauliflower cheese,food
The Bakery Cos.,organization
Raspberry cane sugar,beverage
Bourbon pecan pie,food
Bulgogi,food
Rye seeded bread,food
Energy bar,food
Spaghetti and meatballs,food
Rice vermicelli with fried tofu and shrimp paste,food
Hainanese chicken rice,food
Peanut butter cookie,food
The Coffee Bean &amp; Tea Leaf,organization
White dipping cheese,food
Pizza Hut,organization
Stuffed artichoke,food
"Paisley Farm, Inc.",organization
Chili sauce hot,ingredient
General Tso's chicken,food
"Prosperity Organic Foods, Inc.",organization
Sardine,ingredient
Golden Corral,organization
Lemon meringue pie,food
Key lime pie,food
Natural green tea,beverage
Smoked vienna sausage,food
Cream of mushroom soup,food
Sugar cookie,food
Mikesell's,organization
Better Made Potato Chips,organization
Garlic cheddar cheese,product
"Del Sol Food Company, Inc.",organization
Tortilla soup base,food
French pie biscuit,food
Juice,beverage
Ruby chocolate,food
Kool-Aid,beverage
S super cola,ingredient
Red cream soda,beverage
Panda Express,organization
Heineken Malaysia Berhad,organization
Chicago-style pizza,food
Lattice apple pie,food
Jiaozi,food
K o pickles,ingredient
Pasta Prima,organization
Banana cream pie,food
Chocolate pecan pie,food
Meal replacement,food
Shami kebab,food
Lactic fermented beverage,product
Schwebel Baking Company,organization
Original vienna sausage,food
Natural smoked bratwurst,food
Creamed corn,food
Turtle Island Foods,organization
Blue corn,ingredient
Salad dressing,ingredient
Newman's Own,organization
Picante style mild,food
Bean with bacon,ingredient
Burger King sliders,food
"Carla's Pasta, Inc.",organization
Machu Picchu Foods S.A.C.,organization
Crab louie salad,food
Tamari soy sauce,ingredient
Beyond Meat,organization
Town of Monaghan Co-operative Agricultural &amp; Dairy Society Ltd.,organization
Caesar salad dressing,food
Beef flank steak,food
"Ocean's Catch, Inc.",organization
Creme brulee dessert,food
French onion soup,food
Bubble tea,beverage
Duck confit,food
Burger King grilled chicken sandwiches,food
Maraschino cherry,food
Horseradish aioli sauce,ingredient
Jack in the Box,organization
Auga Group,organization
Black turtle bean,ingredient
"Firstclass Foods, Inc.",organization
"R. J. Van Drunen &amp; Sons, Inc.",organization
Egg salad,food
J &amp; J Snack Foods,organization
Riverford Organic Farmers,organization
Dan-D Foods,organization
Bolthouse Farms,organization
Instant hot beverage,beverage
Harvest pumpkin pie,food
Handel's Homemade Ice Cream &amp; Yogurt,organization
Classic french bread,food
Boneless chicken wings,food
Fatburger,organization
Yellow fava beans,ingredient
Freshtrop Fruits,organization
Chicken breast filet,food
American cheese,ingredient
Light white bread,food
Roma tomato,ingredient
Barbary fig,ingredient
Maasdam cheese,ingredient
"Humm Kombucha, LLC",organization
Galbi-jjim,food
Chamoyada,beverage
Longan,ingredient
Mais Fruta Indústria e Comércio S.A.,organization
Spondias mombin,ingredient
Leafy green romaine,ingredient
Dijon prepared mustard,food
Rice noodle soup,food
Havarti,ingredient
Black forest cake,food
Cafreal,food
Zilks Foods LLC,organization
Blue Diamond Growers,organization
Fennel,ingredient
Farm Boy,organization
Vegetables for gumbo,food
Stew,food
Meatloaf,food
Clif Bar &amp; Company,organization
Coconut cooking oil,ingredient
Fletchers Group of Bakeries Limited,organization
Planet Organic,organization
Shake Shack,organization
Purple Beverage Company,organization
Barley water,beverage
The Real Italian Ice Cream Company Limited,organization
Parag Milk Foods,organization
Fever-Tree,organization
Caffeine + water,beverage
StarKist,organization
Cream flavored soda,beverage
Ma'amoul,food
Főzelék,food
"Guzman Coffee &amp; Nuts, SL",organization
Passion fruit,ingredient
Fruit tree,ingredient
Ccl Products India,organization
Noodle soup base,food
Flattened rice,food
Meat analogue,food
Golden ginger ale,beverage
"Tillamook Country Smoker, Inc.",organization
ThaiBev,organization
Pepperoni roll,food
Quality Kernels Ltd.,organization
Tzatziki,food
Čakovečki mlinovi,organization
"Saratoga Beverage Group, Inc.",organization
Quince,ingredient
Feta,ingredient
BellaVitano Cheese,ingredient
Purple leaf sand cherry,ingredient
The Stouffer Corporation,organization
Jack and Jill Ice Cream,organization
Buffalo wing popcorn,food
Marionberry,ingredient
Bulkie roll,food
Frozen sorbet bars,food
"Pompeian, Inc.",organization
Candy seeds confection,food
Cotton candy,food
Kama,food
Wegmans,organization
Hiball Inc,organization
"S&amp;W Fine Foods, Inc",organization
White pita bread,food
English muffins sourdough,food
Vietnamese coriander,ingredient
Yellow curry,food
Jasmine cooked rice,ingredient
McAlister's Deli,organization
Hangyo Ice Creams Private Ltd.,organization
Elbow macaroni pasta,food
Royal Chocolates NV,organization
Unsweetened pineapple juice,beverage
Boulder Brands,organization
Ice cream roll,food
Yacón syrup,food
String cheese,ingredient
Sourdough enriched bread,food
Southern pecan pie,food
Omaha Steaks,organization
Coffee,beverage
Lemon-lime drink,beverage
Charlie's,organization
River Ranch Fresh Foods,organization
Risotto,food
Splash Premium Cocktail Mixers,organization
Pickled fruit,food
Food coloring,food
Root Vegetables,food
Recado rojo,food
Herbal tea beverage,beverage
Whole cow milk,product
Cement mixer,beverage
Pomegranate,ingredient
Old fashioned,beverage
Gravenstein,ingredient
BevMo!,organization
Japanese knotweed,ingredient
Pinto chili beans,ingredient
Brinker International,organization
English muffin plain,food
Granulated instant coffee,beverage
Hazelnut,ingredient
"Magic Seasoning Blends, Inc.",organization
Cheesesteak,food
Coriander,ingredient
Guacamole flavor sauce,food
Datterino Tomato,ingredient
Sourdough english muffin,food
Sultans Limited,organization
Pure baking powder,ingredient
Swiss cheese,ingredient
Multigrain english muffin,food
Solo Foods,organization
Pasteurized apple cider,beverage
Pub cheese,food
Lantmännen Unibake UK Limited,organization
Sour mix,beverage
Tagliatelle egg noodles,food
Baked pumpkin pie,food
Chile con queso,food
India basmati rice,ingredient
Sulla coronaria,ingredient
Family Tradition Foods Inc.,organization
Pekmez,food
Puffed rice cakes,food
Three meat sauce,food
Gochujang hot sauce,ingredient
Pajeon,food
Medium cremosa salsa,food
Bigelow Tea Company,organization
Peach Palm,ingredient
Carbonated coconut water,beverage
Wege of Hanover,organization
Italian small plate,food
Carne asada,food
"MGH Gourmet, Inc.",organization
Bidfood Australia Limited,organization
Green lettuce leaves,ingredient
"Inventure Group, Inc. (The)",organization
Bourbon pecan cake,food
Hottlet Frozen Foods NV,organization
Kanafeh,food
Arroz a la tumbada,food
Basmati aromatic rice,ingredient
Black rice,food
Hog plum,ingredient
Kroger,organization
Ground beef hamburgers,food
AOHATA CORP.,organization
Herve cheese,ingredient
Family white bread,food
Enriched vermicelli product,food
"Private Harvest, Inc.",organization
Fiddes Payne Ltd,organization
"Mamaki of Hawaii, Inc.",organization
Morozoff Ltd.,organization
Rebanadas sweet toast,food
Hot buttered rum,beverage
Cumin,ingredient
Meatless Farm,organization
Hot buffalo wing,food
Cinnamon raisin pecan,food
"RPE, Inc.",organization
Even thinner snacks,food
Peanut brittle peanuts,food
Peeled Snacks,organization
Grupo Bimbo,organization
MARR S.p.A.,organization
La Casera,beverage
"Delta Pride Catfish, Inc.",organization
Mandarin orange,ingredient
Gin and tonic,beverage
Sprouted mung beans,ingredient
Masala chai latte,beverage
Pound loaf cake,food
Bucatini enriched macaroni,food
Sunflower seed,ingredient
Galletas Gullón,organization
Majestic Wine,organization
Seasoning,food
Stevia,food
Blackberry,ingredient
Target Corporation,organization
"Melissa's/World Variety Produce, Inc.",organization
Meijer,organization
Rotelle,food
Honeycrisp,ingredient
Chanterelles,ingredient
Baguette,food
Bisque,food
Holland American Food Co. Inc.,organization
"Idahoan Foods, LLC",organization
Liquorice,ingredient
Clupeidae,ingredient
Açaí palm,ingredient
Spaghettini,food
Terana,ingredient
"Biazzo Dairy Products, Inc.",organization
Ahold,organization
Dieffenbach's rail,ingredient
Jays,ingredient
QFC,organization
Cavatelli,food
Pennoni,food
Kikkoman,organization
Mushrooms,ingredient
Squid,food
Mango,organization
Sundae,food
Provolone,ingredient
Linguine,food
Potato,ingredient
Tortelloni,food
Tortellini,food
Spinach,ingredient
Cheddar cheese,ingredient
Mousse,food
Muenster cheese,ingredient
Rosemary,ingredient
Galeries Lafayette,organization
Gingerbread,food
Camembert,ingredient
Eucalyptus,ingredient
Savory,ingredient
Mustards,ingredient
Sage,ingredient
Trappey's Hot Sauce,organization
Mint,ingredient
Enriched,food
Hominy,food
Sushi,food
Nongshim,organization
Pozole,food
Lychee,ingredient
Tuna,ingredient
Tapioca,food
Chipotle Mexican Grill,organization
Kaldereta,food
Nando's,organization
Fat,food
Peregrine falcon,ingredient
Kombu,beverage
Panko,food
Wheat gluten,food
Dolma,food
Bell's Brewery,organization
Currys,organization
Xylitol,ingredient
California and Hawaiian Sugar Company,organization
Delicioso,ingredient
"Cooksimple, LLC",organization
Johnson Financial Group,organization
Paneer,ingredient
Kimlan Foods,organization
Juusto,product
Strozzapreti,food
Tapenade,food
Freddy's Frozen Custard &amp; Steakburgers,organization
Isernio's Sausage Company,organization
Fisher,ingredient
Haldiram's,organization
Giuseppe Citterio S.p.A.,organization
Mangosteen,ingredient
Johnny Marzetti,food
Scallops,ingredient
Gardein,food
Jambalaya,food
Water,ingredient
Drink,food
Sandwich,food
Nut,food
Soymilk,food
Eggnog,beverage
Nectarine,ingredient
Hibiscus,ingredient
Raley's Supermarkets,organization
"Big Idea Holdings, LLC",organization
Kombucha,beverage
Fizz,beverage
SUNNYD,beverage
Cook,food
Vinegar,ingredient
Parmalat,organization
Beverage,food
Cranberry,ingredient
Goetze's Candy Company,organization
Falafel,food
SuperValu,organization
Nectar,food
Cocktail,beverage
Sargento,organization
Hannaford Brothers Company,organization
Punch,beverage
Barramundi,ingredient
Crows,ingredient
Roll,food
Reasor's,organization
Freia,organization
Budget Blinds,organization
Shurfine,organization
Rawxies LLC,organization
Wasabi,ingredient
Harmons,organization
Avanti,ingredient
"Coborn's, Inc.",organization
"Eillien's Candies, Inc.",organization
Redner's Markets,organization
